omim_id,Description
157700,"Mitral valve prolapse (MVP) has a prevalence of approximately 2 to 3% in the general population. It is characterized by fibromyxomatous changes in mitral leaflet tissue, with upward displacement of 1 or both leaflets into the left atrium during systole; MVP is diagnosed when the movement of the mitral leaflets exceeds 2 mm. In classic MVP, leaflets are at least 5 mm thick, whereas in nonclassic MVP, they are less than 5 mm thick. Auscultatory findings, when present, consist of a midsystolic click and/or a late systolic murmur. The natural history of MVP varies from benign, with a normal life expectancy, to severe complications associated with the development of significant mitral regurgitation, including congestive heart failure, bacterial endocarditis, atrial fibrillation, thromboembolism, and even sudden death. However, complications are uncommon, affecting less than 3% of individuals with MVP (Freed et al., 1999;Grau et al., 2007;Delling and Vasan, 2014).Grau et al. (2007)provided a detailed review of the genetics of mitral valve prolapse.Delling and Vasan (2014)reviewed the epidemiology and pathophysiology of MVP, with discussion of disease progression, genetics, and molecular basis.Genetic Heterogeneity of Familial Mitral Valve ProlapseThe locus for MVP1 has been mapped to chromosome 16p; the locus for MVP2 (607829) has been mapped to chromosome 11p.Mitral valve prolapse-3 (MVP3;610840) is caused by mutation in the DZIP1 gene (608671) on chromosome 13q32."
157950,"Secondary retention is the cessation of eruption of a tooth after emergence that does not result from a physical barrier in the path of eruption or an abnormal position of the tooth. Permanent molars are less frequently affected than deciduous molars. The major characteristic of a secondarily retained molar is infraocclusion, which may result in malocclusion because of tilting of the neighboring teeth and overeruption of antagonists. The disorder can also result in loss of the retained molar and neighboring teeth due to caries and periodontal disease and in deformation of the facial skeleton (Raghoebar et al., 1992).See also125350and273050for phenotypes with shared features of secondary retention of permanent molars."
158280,"Although motion sickness is not likely to be mendelian, it appears to show familial aggregation. Hence, the hypothesis ofTreisman (1977)is of interest. The hypothesis is based on the idea that 'motion sickness is triggered by difficulties which arise in the programming of movements of the eyes or head when the relations between the spatial frameworks...are repeatedly and unpredictably perturbed. Such perturbations may be produced by certain types of motion, or by disturbances in sensory input or motor control produced by ingested toxins.' In nature the last would be important. Emesis in response to motion is viewed by this hypothesis as an unfortunate accidental byproduct of the system to get rid of neurotoxins."
160300,"Magee and DeJong (1965)reported a family in which 18 members over 5 generations developed bilateral foot drop by the age of 2 years. A mild paresis of extension of the fingers and occasionally mild weakness of the hands developed later in some of the affected members. The course was slowly progressive during childhood with intermittent long stationary periods. There was no obvious progression of the disorder.Van der Does de Willebois et al. (1968)described a father and 2 sons with distal myopathy beginning with bilateral foot drop at about 2 years of age. There was little to no progression of the disorder. Electromyographic investigations showed myopathic features in the muscles involved. No marked weakness or electromyographic abnormalities were present in the peroneal muscles. Because the myopathy became apparent when the patients began to walk, the authors suggested that the disorder may be a congenital myopathy."
160750,"Lewkonia and Buxton (1973)described myositis in father and daughter. The daughter's illness resembled childhood dermatomyositis and progressed to systemic involvement with death less than 4 years after onset. The father's illness followed the course of adult polymyositis, with little evidence of systemic involvement. Proximal muscle weakness was a conspicuous feature in both. In both, the diagnosis of myositis was confirmed by muscle biopsy. The significance of the familial occurrence may be similar to that of familial SLE (152700) and familial autoimmune disorders (109100).Rider et al. (1998)described the clinical, serologic, and immunogenetic features of idiopathic inflammatory myopathy (IIM), observed in 16 unrelated families in which 2 or more blood relatives developed the disorder. In addition, findings in patients with familial IIM were compared with those in 181 patients with sporadic IIM. Families included 3 pairs of monozygotic twins with juvenile dermatomyositis, 11 families with other sibs or relatives with polymyositis or dermatomyositis, and 2 families with inclusion body myositis (147421). They found that the clinical features of familial IIM were similar to those of sporadic IIM, although the frequency of myositis-specific autoantibodies was lower in familial than in sporadic cases. In the HLA system, DRB1*0301 was a common genetic risk factor for familial and sporadic IIM, but contributed less to the genetic risk of familial IIM. Homozygosity at the HLA-DQA1 locus was found to be a genetic risk factor unique to familial IIM.Rider et al. (1998)concluded that familial muscle weakness is not always due to inherited metabolic defects or dystrophies, but may be the result of the development of IIM in several members of the same family, and that multiple genetic factors are probably important in the etiology and disease expression of familial IIM, with DQA1 homozygosity being a distinct risk factor for familial IIM."
161400,A number sign (#) is used with this entry because of evidence that narcolepsy-1 (NRCLP1) is caused by heterozygous mutation in the HCRT gene (602358) on chromosome 17q21. One such patient has been reported.
161900,"Richmond et al. (1981)reported an autosomal dominant nephropathy in which morphology was primarily interstitial, with secondary glomerular atrophy. Renal failure was documented in 5 females and 2 males. In addition, 2 males and 1 female were thought to have died in renal failure, and 4 other males and 1 female were known to be affected. All patients presented as adults with hypertension and proteinuria, usually of mild degree. Rheumatoid arthritis was present in several members of the kindred, including some persons without nephritis; in doubly affected persons, it appeared to bear no temporal relationship to the renal disease. None of the affected persons had macroscopic hematuria and only 2 had microscopic hematuria. Extensive renal damage was present in 1 person despite good function.Cohn et al. (2000)reported a large Israeli family of Iraqi Jewish origin with an autosomal dominant form of adult-onset nephropathy and hypertension. There were 14 affected individuals spanning 4 generations. Marked hypertension (diastolic pressure of 105 mm/Hg) was the presenting symptom in all patients. Eleven patients developed end-stage renal disease between ages 19 and 50 years. Seven underwent renal transplantation and 3 were on hemodialysis. Laboratory studies showed increased serum creatinine, but urine analysis was normal, with no evidence of proteinuria. None of the patients had any extrarenal manifestations. Renal biopsy reports were available from 2 patients. One had some sclerotic glomeruli with interstitial fibrosis and mild tubular atrophy. The other showed mild thinning of the membranes without other significant findings. No abnormalities were seen after immunofluorescent staining for IgG, IgA, IgM, C3 (120700), C4 (see120810), C1q (see120550), properdin (300383), fibrinogen (see134820), and albumin (103600). Whether the hypertension was the primary cause of the renal failure or secondary to an underlying renal defect was unclear."
164230,A number sign (#) is used with this entry because susceptibility to obsessive-compulsive disorder (OCD) has been associated with single-nucleotide polymorphisms (SNPs) in the SLC6A4 serotonin transporter gene (182138) and in the promoter region of the serotonin 5-HT2A receptor (HTR2A;182135).
165150,"Levic et al. (1975)described this combination in a mother, 3 daughters and 2 sons of a Yugoslav family."
165199,"Hagemoser et al. (1989)reported 2 unrelated families with a disorder characterized by optic atrophy, hearing loss, and peripheral neuropathy. In the first family, there were 13 affected members spanning 4 generations with an instance of male-to-male transmission. Most patients had onset of bilateral hearing loss and visual loss with optic atrophy by school-age. Onset of neurologic features occurred only in a subset of patients as adults, and consisted primarily of decreased vibratory sensation and hyporeflexia in the lower limbs. Nerve conduction velocities suggested an axonal sensory and motor neuropathy. The second family had 3 affected members in 3 generations. Optic atrophy was recognized in the first decade of life. The proband had visual loss at school age and hearing loss by age 13 years. Decreased distal sensation developed as an adult.Hagemoser et al. (1989)concluded that this disorder showed autosomal dominant inheritance with initial presentation of optic atrophy.See311070and258650for an X-linked and a possible autosomal recessive form of the disorder, respectively."
165720,A number sign (#) is used with this entry because of evidence that susceptibility to osteoarthritis-1 (OS1) is conferred by variation in the FRZB gene (605083) on chromosome 2q32.
166300,A number sign (#) is used with this entry because of evidence that multicentric carpotarsal osteolysis syndrome (MCTO) is caused by heterozygous mutation in the MAFB gene (608968) on chromosome 20q12.
166710,"A number sign (#) is used with this entry because of evidence that polymorphisms in the COL1A1 gene (120150.0051), the calcitonin receptor gene (CALCR;114131), and the RIL gene (603422) are associated with osteoporosis. There is evidence that a polymorphism in the ITGB3 gene (173470) is associated with hip fracture.See BMND1 (601884) for a list of bone mineral density (BMD) quantitative trait loci, some of which have been associated with susceptibility to osteoporosis. Association has been suggested between variation in the ESR1 gene (133430) and BMD."
166760,A number sign (#) is used with this entry because of evidence that susceptibility to otitis media may be conferred by variation in the A2ML1 gene (610627) on chromosome 12p13.
167320,"A number sign (#) is used with this entry because of evidence that inclusion body myopathy with Paget disease and frontotemporal dementia-1 (IBMPFD1) is caused by heterozygous mutation in the VCP gene (601023) on chromosome 9p13.Heterozygous mutation in the VCP gene can also cause frontotemporal dementia and/or amyotrophic lateral sclerosis-6 (FTDALS6;613954), which can show overlapping clinical features."
167870,"The DSM-IV (American Psychiatric Association, 1994) defines panic disorder as the spontaneous, unexpected occurrence of panic attacks followed by persistent concern, worry, and anxiety about having additional panic attacks. Panic attacks are defined as a discrete period of intense fear or discomfort in which at least 4 of 13 symptom criteria are met that develop abruptly and reach a peak within 10 minutes. Some of these criteria include cardiac palpitations, sweating, feelings of choking, fear of losing control, and fear of dying. Panic disorder is divided into panic disorder with or without accompanying agoraphobia. However, agoraphobia can also occur without panic disorder, and panic attacks can occur in the absence of panic disorder. Comorbidity with depressive and addictive disorders is frequent.Barlow et al. (1994)andSmoller and Tsuang (1998)noted that because the diagnostic criteria remain purely clinical, the nosology of anxiety disorders, such as panic disorder, is controversial and evolving. Therefore, it is difficult to do genetic studies because of the difficulty in delineating overlapping phenotypes within the broader context of anxiety disorders. For example, there may be overlap of panic with specific phobias, variable expressivity of panic and anxiety or depression, or phenocopies within a family. The terms 'anxiety neurosis' and 'phobic neurosis' were used in the past (before the DSM-III in 1980) to encompass all of these disorders.Smoller and Tsuang (1998)suggested that dimensional personality traits, such as shyness, behavioral inhibition, and neuroticism (see607834), could be used to define an anxiety phenotype.Schumacher et al. (2011)provided a review of the genetics of panic disorder. They noted that there is high (80%) comorbidity with other psychiatric disorders, including agoraphobia, mood disorders, substance abuse, and other anxiety disorders. Associated personality traits include anxiety sensitivity, behavioral inhibition, neuroticism, and harm avoidance. Women are more susceptible to development of the disorder, which has an average age of onset at 23.6 years.Genetic Heterogeneity of Susceptibility to Panic DisorderSusceptibility to panic disorder-1 (PAND1) has been mapped to chromosome 13q. See also PAND2 (607853), mapped to chromosome 9, and PAND3 (609985), mapped to chromosome 4."
168100,"RamseyHunt (1917)described a disorder with typical parkinsonism beginning in the teens or earlier, with tremor, masklike facies, bradykinesia, dysarthria, and rigidity. Progression was very slow. David B. Clark had seen the disorder in father and daughter (Ford, 1961). The substantia nigra was normal, but degeneration and loss of large cells of the lenticular nuclei occurred. Hunt's second case was the offspring of first cousins. She died at the age of 65 years. Autopsy showed pallidopyramidal disease (PARK15;260300).Allen and Knopp (1976)observed a family with 3 affected females: the proband, her paternal grandmother, and her sister's daughter. The proband's father had died at age 34 years. A disorder of gait ('walking on the ball of the foot') started in the proband at age 6 years and tremor in the hands at age 10. Achilles tenotomy was performed at age 11. In her 30s, striking improvement occurred with L-DOPA and anticholinergic medication. The paternal grandmother had onset of tremors at age 13 years. Flexion dystonia of the fingers and fixed facial expression were evident by age 54. She became immobile and bedridden after age 64 and died at age 80. The niece, aged 15 at time of report, showed dystonic movements of the right hand and a longstanding disturbance of gait. L-DOPA effected improvement.Martin et al. (1971)described patients with 'juvenile parkinsonism,' who, like the patients reported byAllen and Knopp (1976), may in fact, have had dopa-responsive dystonia (128230). Pathologic findings were reported byHunt (1917)and byvan Bogaert (1930)."
168600,A number sign (#) is used with this entry because of evidence that late-onset or sporadic Parkinson disease (PD) can have more than one genetic and/or environmental cause.
168601,"A number sign (#) is used with this entry because of evidence that Parkinson disease-1 (PARK1) is caused by heterozygous mutation in the alpha-synuclein gene (SNCA;163890) on chromosome 4q22.See also dementia with Lewy bodies (127750), an allelic disorder with overlapping clinical features."
170900,"In the relatives of 34 pernicious anemia probands,McIntyre et al. (1959)tested the ability to absorb orally given doses of cobalt-60 labeled vitamin B12 (Schilling test). The relatives of pernicious anemia patients showed a negative correlation with age; control subjects did not. The relatives showed a tendency to bimodality. Forty-eight percent of sibs and 32% of offspring had abnormal absorption. The authors suggested autosomal dominant inheritance.Wangel et al. (1968)suggested that the tendency to form autoantibodies against gastric parietal cells may be inherited as a dominant with incomplete penetrance. Later studies (McIntyre, 1968) yielded results that make a simple genetic hypothesis difficult to support. As pointed out byTwomey (1975), pernicious anemia shows a 10-fold increase in patients with multiple myeloma and a 250-fold increase in adults with immunoglobulin deficiency."
171300,"A number sign (#) is used with this entry because susceptibility to the development of isolated pheochromocytoma can be caused by germline mutation in several genes, including the TMEM127 gene (613403) on chromosome 2q11 and the MAX gene (154950) on chromosome 14q23.Pheochromocytomas most commonly occur as part of several syndromes, and mutations in the genes that cause these syndromes have been identified in patients who manifest only pheochromocytoma. These include von Hippel-Lindau syndrome (VHL;193300), caused by mutation in the VHL gene (608537), and multiple endocrine neoplasia types IIA (MEN2A;171400) and IIB (MEN2B;162300), which are caused by mutations in the RET gene (164761). Pheochromocytomas have less commonly been observed in neurofibromatosis I (NF1;162200), which is caused by mutation in the gene encoding neurofibromin-1 (613113).For a discussion of heterogeneity of pheochromocytoma/paraganglioma syndrome, see PPGL1 (168000).In addition, somatic mutation in several of the genes involved in familial disease, including NF1, VHL, RET, and MAX, have been identified in tumor tissue from patients with sporadic pheochromocytoma (Welander et al., 2012;Burnichon et al., 2012).For associations pending confirmation, see MOLECULAR GENETICS."
173200,A number sign (#) is used with this entry because of evidence that pityriasis rubra pilaris (PRP) is caused by heterozygous mutation in the CARD14 gene (607211) on chromosome 17q25.
174800,A number sign (#) is used with this entry because McCune-Albright syndrome (MAS) is associated with early embryonic postzygotic somatic activating mutations in the GNAS1 gene (139320) on chromosome 20q13.
175100,"A number sign (#) is used with this entry because familial adenomatous polyposis-1 (FAP1) and its variant Gardner syndrome are caused by heterozygous mutation in the APC gene (611731) on chromosome 5q22.Heterozygous mutation in the APC gene promoter 1B also causes gastric adenocarcinoma and proximal polyposis of the stomach (GAPPS;619182).See also hereditary desmoid disease (135290), an allelic disorder considered by some (e.g.,Lynch, 1996) to be a variant of FAP."
175505,"This entry was incorporated into619182on February 25, 2021."
176800,Thompson et al. (1968)described a family in which males in 3 successive generations had limitation in pronation and supination of the forearms. Radioulnar synostosis (179300) was not present.
176807,"A number sign (#) is used with this entry because of evidence that many genes are involved in the origin and/or progression of this neoplasm.Genetic Heterogeneity of Susceptibility to Prostate CancerSee HPC1 (601518), associated with variation in the RNASEL gene on chromosome 1q25; HPC2 (614731), associated with variation in the ELAC2 gene (605367) on chromosome 17p12; HPC3 (608656), mapped to chromosome 20q13; HPC4 (608658), mapped to chromosome 7p11-q21; HPC5 (609299), mapped to chromosome 3p26; HPC6 (609558), mapped to chromosome 22q12; HPC7 (610321), mapped to chromosome 15q12; HPC8 (602759), mapped to chromosome 1q42.2-q43; HPC9 (610997), associated with variation in the HOXB13 gene (604607) on chromosome 17q21-q22; HPC10 (611100), mapped to chromosome 8q24; HPC11 (611955), mapped to chromosome 17q12; HPC12 (611868), associated with variation in the EHBP1 gene (609922) on chromosome 2p15; HPC13 (611928), associated with variation in the MSMB gene (611928) on chromosome 10q11; HPC14 (611958), mapped to chromosome 11q13; HPC15 (611959), mapped to chromosome 19q13; HPCX1 (300147), mapped to chromosome Xq27-q28; HPCX2 (300704), mapped to chromosome Xp11; and HPCX3 (301120), caused by mutation in the AR gene (313700). Mutations in the BRCA2 (600185) gene have also been identified in prostate cancer.Somatic mutations in several genes have been found in prostate cancer tumors, including PTEN (601728), MAD1L1 (602686), ATBF1 (ZFHX3;104155), MXI1 (600020), and KLF6 (602053).Somatic mutations in the EPHB2 gene (600997) are associated with susceptibility to prostate cancer/brain cancer (603688).A prostate cancer aggressiveness quantitative trait locus (HPCQTL19;607592) has been mapped to chromosome 19q.Also see MOLECULAR GENETICS."
178600,A number sign (#) is used with this entry because of evidence that primary pulmonary hypertension-1 (PPH1) is caused by heterozygous mutation in the BMPR2 gene (600799) on chromosome 2q33.
179600,"Raynaud phenomenon is characterized by episodic digital vasospasms that are provoked by cold and/or emotional stress. In the absence of an identifiable disease process, such as scleroderma or traumatic vibration, the condition is termed primary Raynaud disease (summary byFreedman and Mayes, 1996)."
181000,"A number sign (#) is used with this entry because of evidence that variation in the HLA-DRB1 gene (142857.0001) on chromosome 6p21.3 is a major contributor to susceptibility to sarcoidosis (SS1).For additional information on susceptibility loci for sarcoidosis, see MAPPING section."
181460,"The propensity of helminths, such as schistosomes, to immunomodulate the host's immune system is an essential aspect of their survival.Ritter et al. (2010)stimulated mouse bone marrow-derived dendritic cells (BMDCs) with soluble schistosomal egg antigens (SEAs) after prestimulation with different TLR ligands and observed suppressed secretion of Tnf (191160) and Il6 (147620) and increased Nlrp3 (606416)-dependent Il1b (147720) production. Induction of Il1b was phagocytosis-independent, but it required production of reactive oxygen species, potassium efflux, and functional Syk (600085) signaling, suggesting inflammasome activation. SEA stimulation of BMDCs lacking Fcrg (see146740) or dectin-2 (CLEC6A;613579) resulted in significantly reduced Il1b production compared with wildtype BMDCs, suggesting that SEA triggers dectin-2, which couples with Fcrg to activate the Syk kinase signaling pathway that controls Nlrp3 inflammasome activation and Il1b release. Infection of mice lacking Nlrp3 or the central inflammasome adaptor Asc (PYCARD;606838) with S. mansoni resulted in no difference in parasite burden, but decreased liver pathology and downregulated Th1, Th2, and Th17 adaptive immune responses.Ritter et al. (2010)concluded that SEA components induce IL1B production and that NLRP3 plays a crucial role during S. mansoni infection.Smith et al. (2005)identified a molecule produced by Schistosoma eggs, termed S. mansoni chemokine-binding protein (smCKBP), that bound the chemokines CCL2 (158105), CCL3 (182283), CCL5 (187011), CXCL8 (146930), and CX3CL1 (601880). SmCKBP blocked interaction of these chemokines with their receptors and thereby inhibited induction of inflammation.Smith et al. (2005)proposed that since smCKBP is unrelated to host proteins, it may have potential as an antiinflammatory agent. They concluded that smCKBP explains, at least in part, how modulation of the immune system allows the host to tolerate chronic worm infections without overt morbidity."
181500,A number sign (#) is used with this entry because multiple gene loci are involved in the causation of this complex trait. Other entries describe schizophrenia susceptibility loci that have been identified or are suspected from linkage or association studies or chromosomal aberrations.
182000,A number sign (#) is used with this entry because of evidence that seborrheic keratosis can result from somatic mutations in the FGFR3 gene (134934) or the PIK3CA gene (171834).
182280,"Small cell cancer of the lung accounts for about a fourth of the 110,000 new cases of lung cancer that occur annually in the United States. It is clinically distinctive: usually metastases are already present at the time of discovery so that surgery is not used. In contrast to adeno- and squamous carcinoma, SCCL is sensitive to chemotherapy and radiotherapy.Whang-Peng et al. (1982)found a specific, acquired chromosomal abnormality (deletion 3p) in at least one chromosome 3 in all metaphases in all 12 cell lines cultured from human SCCL tissue in 2-day tumor culture specimens from 3 patients. The shortest region of overlap showed the deletion to involve 3p23-p14. No other type of lung cancer showed this deletion, nor did lymphoblastoid lines cultured from SCCL patients whose tumors had the 3p deletion. SCCL is 'caused' by cigarette smoking as are other types of lung cancer. Thus, like chronic myeloid leukemia, this is an example of an exogenously induced malignancy with a specific chromosomal change. Cytogenetic effects of cigarette smoke are relevant in this connection (Madle et al., 1981).Several biochemical markers were found to be associated with small cell cancer of the lung (Gazdar et al., 1981;Tapia et al., 1981). Perhaps genes in the 3p14-23 region have something to do with these markers as well as with the genesis of SCCL. (The cell of origin of SCCL is thought to be the Kulchitsky cell, an argentaffine cell situated in the bronchial epithelium, although this is not proved.)Erisman et al. (1982)showed that SCCL contains bombesin, a tetradecapeptide from anuran skin. It had been identified in human fetal and neonatal lung but not in adult lung. Some symptoms of SCCL may be attributable to bombesin. The syndrome of inappropriate secretion of antidiuretic hormone and Cushing syndrome, occurring with SCCL, are due to ectopic production of antidiuretic hormone and ACTH, respectively. The relation between ectopic hormone production and the aberration involving chromosome 3 is unknown.Baylin et al. (1982)found 12 distinguishing surface proteins on SCCL that were not shared by any of the 3 other carcinogen-induced forms of lung cancer (squamous, adeno-, and large cell undifferentiated carcinoma) or by human lymphoblastoid cells and fibroblasts. The neuroendocrine nature of SCCL was supported by the fact that 6 of the 12 were shared by human neuroblastoma cells. On human SCCL cells and tumors,Ruff and Pert (1984)demonstrated 4 surface antigens previously recognized only in macrophages. They suggested that cancerous cells may arise from macrophage precursors in bone marrow, and these precursors migrate to lung to participate in the repair of tissue damage produced by continuous heavy smoking. About 5% of SCCL patients have no apparent pulmonary involvement and the early, rapid and widespread dissemination of tumor to extrathoracic sites requires explanation.Naylor et al. (1984)used an anonymous, polymorphic DNA probe, D3S3, to confirm the presence of deletion of 3p in SCCL. This probe had been assigned to 3p21-cen. Studying 7 SCCL tumors and normal tissue from the same persons, they found that 6 of the 'normal' DNA samples were heterozygous for the D3S3 MspI polymorphism, whereas in all cases the tumor tissues were homozygous.De Leij et al. (1985)isolated 3 new, well-growing cell lines from SCCL. Deletions in 3p, with 3p23-p21 as the smallest region of overlap, were found.Mooibroek et al. (1987)used a recombinant DNA fragment detecting a RFLP presumably at 3p21 to probe DNA isolated from leukocytes of 12 patients with small cell lung cancer. Four of these patients were heterozygous. Analysis of tumor material from the 4 patients showed homozygosity for either one or the other restriction fragment in every case.Gerber and Scoggin (1987)andNaylor et al. (1987)demonstrated loss of constitutional heterozygosity in SCCL. Comparing tumor and constitutional genotypes of 9 patients with small cell lung cancer,Naylor et al. (1987)found a loss of alleles of chromosome 3p markers in tumor DNA of all 9 patients.Brauch et al. (1987)concluded that loss of alleles on 3p is a consistent change in small cell lung cancer but occasionally occurs in non-small cell lung cancer as well. Using a molecular genetic approach,Kok et al. (1987)found evidence for a consistent deletion at the 3p21 region not only in SCCL but in all major types of lung cancer.Yokota et al. (1987)found loss of heterozygosity for RFLPs on chromosome 3p in 7 of 7 patients, on 13q in 10 of 11 patients, and on 17p in 5 of 5 patients. Deletions at these loci in small cell carcinomas were observed even in tumors without any clinical evidence of metastasis. Furthermore, loss of heterozygosity on 3p and 13q occurred before NMYC amplification and before chromosome 11p deletion. (Loss of heterozygosity on 3p was also detected in the adenocarcinomas from 5 of 6 patients. Heterozygosity of chromosomes 13q and 17p was lost in 10 of 31 patients and in 3 of 12 patients, respectively, of lung cancers other than small cell carcinomas.)Johnson et al. (1988)found unequivocal loss of heterozygosity in the DNA from tumor tissue of 23 of 25 patients who were constitutionally heterozygous for at least 1 marker in the region 3p14-p21.Birrer and Minna (1988)pointed to at least 3 molecular mechanisms involved in the development of lung cancer: deletion of 3p, deregulated expression of the MYC family of genes, and growth factors such as gastrin-releasing hormone (137260).Drabkin et al. (1988)demonstrated that the SCLC 'locus' is proximal to ERBA2 (190160) and also to the constitutive 3p14.2 fragile site. Using 15 chromosome 3 probes that identified 19 different RFLPs,Daly et al. (1991)identified a single 3p deletion extending proximal to the D3S2 locus at 3p21-p14.2 and including at least 3p14-p13. The locus D3F15S2 was excluded from the deleted region, an uncharacteristic feature of SCLC deletions. Moreover, D3S30 and D3S4 were included within this deletion, and thus map within the proximal half of chromosome 3p.Leduc et al. (1989)found that virtually all cases of SCLC had lost heterozygosity at the ERBA2 locus. A smaller but substantial portion of non-small cell carcinomas of the lung had lost heterozygosity at this locus. Among all of the non-small cell tumors, some had lost heterozygosity at a proximal locus but not at ERBA2, whereas none were found where the reverse was true. Thus, the locus that plays a role in non-small cell tumorigenesis probably lies proximal to ERBA2 and is almost certainly not the ERBA2 gene.Sellers et al. (1989)presented epidemiologic data supporting the role of mendelian factors in the susceptibility to human lung cancer. The specific pathology of the tumors studied was not stated in the report.From studies of allele loss by use of 13 RFLP probes on 3p,Hibi et al. (1992)concluded that 3 distinct regions on 3p are frequently deleted in lung cancer: 3p25, 3p21.3, and 3p14-cen.Killary et al. (1992)described a rapid genetic assay system that allowed functional analysis of defined areas of 3p in the suppression of tumorigenicity in vivo. Human/mouse microcell hybrids containing fragments of chromosome 3p were constructed and screened for tumorigenicity in athymic nude mice. Hybrid clones were obtained that showed a dramatic tumor suppression and contained a 2-megabase fragment of human chromosomal material encompassing the region 3p21 near the interface with 3p22. This should be the first step toward isolating the tumor suppressor gene.Chen et al. (1996)analyzed microsatellite repeat markers in plasma, tumor samples, and normal cells from 21 patients with a confirmed diagnosis of small cell lung carcinoma (SCLC). They reported that microsatellite alteration (including loss of heterozygosity or the appearance of new size forms) occurred in 16 out of 21 SCLC tumors and in 15 out of 21 plasma samples. In 52% of cases the marker UT762 on chromosome 21 was altered, and in 38% of cases the marker AR (313700) on the X chromosome was altered.Chen et al. (1996)concluded that analysis of plasma DNA may constitute a new tool for tumor staging, management, or possibly detection. See also275355.Watkins et al. (2003)investigated a role for the Sonic hedgehog (SHH;600725) pathway in regeneration and carcinogenesis of airway epithelium. They demonstrated extensive activation of the hedgehog pathway within the airway epithelium during repair of acute airway injury. This mode of hedgehog signaling is characterized by the elaboration and reception of the SHH signal within the epithelial compartment, and immediately precedes neuroendocrine differentiation. A similar pattern of hedgehog signaling in airway development during normal differentiation of pulmonary neuroendocrine precursor cells, and in a subset of small cell lung cancer, was also observed. Small cell lung cancer tumors maintain their malignant phenotype in vitro and in vivo through ligand-dependent hedgehog pathway activation.Watkins et al. (2003)proposed that some types of small cell lung cancer might recapitulate a critical hedgehog-regulated event in airway epithelial differentiation. This requirement for hedgehog pathway activation identified a common lethal malignancy that may respond to pharmacologic blockade of the hedgehog signaling pathway.By sequencing 29 SCLC exomes, 2 genomes, and 15 transcriptomes,Peifer et al. (2012)found that compared to other tumor types in global sequencing studies, SCLC exhibits an extremely high mutation rate of 7.4 protein-changing mutations per million basepairs. Integrated analyses of various data sets to identify pathogenetically relevant mutated genes found evidence in all cases for inactivation of TP53 (191170) and RB1 (614041) and identified recurrent mutations in the CREBBP (600140), EP300 (602700), and MLL (159555) genes, which encode histone modifiers.Peifer et al. (2012)also observed mutations in PTEN (601728), SLIT2 (603746), and EPHA7 (602190), as well as focal amplification of the FGFR1 (136350) tyrosine kinase gene. Finally,Peifer et al. (2012)detected many of the alterations found in human SCLC tumors in Tp53 and Rb1 double-knockout mice.In a study using exome, transcriptome, and copy-number alteration data from 36 primary human SCLC-normal tissue pairs, 17 matched SCLC and lymphoblastoid cell lines, 4 primary tumors, and 23 SCLC cell lines,Rudin et al. (2012)identified 22 significantly mutated genes in SCLC, including genes encoding kinases, G protein-coupled receptors, and chromatin-modifying proteins.Rudin et al. (2012)found that several members of the SOX family of genes were mutated in SCLC. They also found SOX2 (184429) amplification in approximately 27% of the samples. Suppression of SOX2 using shRNAs blocked proliferation of SOX2-amplified SCLC lines. RNA sequencing identified multiple fusion transcripts and a recurrent RLF (180610)-MYCL1 (164850) fusion. Silencing of MYCL1 in SCLC cell lines that had the RLF-MYCL1 fusion decreased cell proliferation.George et al. (2015)sequenced the genomes of 110 SCLCs and identified biallelic inactivation of TP53 and RB1 (614014), sometimes by complex genomic rearrangements, in nearly all tumors. Two tumors with wildtype RB1 had evidence of chromothripsis leading to overexpression of cyclin D1 (CCND1;168461), revealing an alternative mechanism of RB1 deregulation.George et al. (2015)concluded that loss of the tumor suppressors TP53 and RB1 is obligatory in SCLC. The authors also discovered somatic genomic rearrangements of TP73 (601990) that create an oncogenic version of this gene that lacks exons 2 and 3 (TP53-delta-ex2/3). In rare cases, SCLC tumors exhibited kinase gene mutations, providing a possible therapeutic opportunity for individual patients. Finally,George et al. (2015)observed inactivating mutations in NOTCH family genes in 25% of human SCLCs. Accordingly, activation of Notch signaling in a preclinical SCLC mouse model strikingly reduced the number of tumors and extended the survival of the mutant mice. Furthermore, neuroendocrine gene expression was abrogated by Notch activity in SCLC cells."
182830,"Rothner et al. (1976)described affected mother and 5 of her 6 children. The mother had onset of trouble walking at age 30 and by age 37 had pale optic discs, constricted visual fields, and early dementia in addition to the signs of spastic paraplegia. By the age of 42 she could not manage her home, mainly because of dementia. The onset of disease in the children (3 males, 2 females) was as early as age 7. See311100for a possible X-linked optic atrophy--spastic paraplegia syndrome."
