db_id,Description
DB00305,"Mitomycin is an antineoplastic antibiotic first isolated by Japanese microbiologists in the 1950s from cultures of _Streptomyces caespitosus_.[L12867,A193419] It is an alkylating agent that inhibits DNA synthesis (and, at higher concentrations, RNA and protein synthesis) by cross-linking the complementary strands of the DNA double helix.[A193419] Few other antibiotics have been discovered that work via this alkylating mechanism, making mitomycin relatively unique in the space of microbiota-derived therapies.[A193419]

Mitomycin's cross-linking activity has resulted in its approval for the treatment of a variety of cancers - the most recent of which is an April 2020 approval for its use in low-grade Upper Tract Urothelial Cancer (LG-UTUC)[L12867] - as well as adjunctly to _ab externo_ glaucoma surgeries."
DB00307,"Bexarotene (Targretin) is an antineoplastic agent indicated by the FDA for Cutaneous T cell lymphoma. It has been used off-label for lung cancer, breast cancer, and Kaposi's sarcoma."
DB00308,Ibutilide is a Class III antiarrhythmic agent available in intravenous formulations. It is indicated for the conversion of acute atrial flutter and recent onset atrial fibrillation to normal sinus rhythm (NSR).
DB00310,"Chlorthalidone is a thiazide-like diuretic used for the treatment of hypertension and for management of edema caused by conditions such as heart failure or renal impairment. Chlorthalidone improves blood pressure and swelling by preventing water absorption from the kidneys through inhibition of the Na+/Cl− symporter in the distal convoluted tubule cells in the kidney. The exact mechanism of chlorthalidone's anti-hypertensive effect is under debate, however, it is thought that increased diuresis results in decreased plasma and extracellular fluid volume, decreased cardiac output and therefore overall reduction in blood pressure.[A176324]

Chlorthalidone is considered first-line therapy for management of uncomplicated hypertension as there is strong evidence from meta-analyses that thiazide diuretics such as chlorthalidone reduce the risk of stroke, myocardial infarction, heart failure, and cardiovascular all-cause mortality in patients with hypertension.[A173863] In particular, the ALLHAT trial confirmed the role of thiazide diuretics as first-line therapy and demonstrated that chlorthalidone had a statistically significant lower incidence of stroke and heart failure when compared to [DB00722], [DB00381], or [DB00590].[A173884, A173887] Further studies have indicated that low-dose thiazides are as good as, and in some secondary endpoints, better than β-blockers, ACE inhibitors, Calcium Channel Blockers or ARBs.

Chlorthalidone has been shown to have a number of pleiotropic effects that differentiate it from other diuretics such as [DB00999]. In addition to its antihypertensive effects, chlorthalidone has also been shown to decrease platelet aggregation and vascular permeability, as well as promote angiogenesis in vitro, which is thought to be partly the result of reductions in carbonic anhydrase–dependent pathways. These pathways may play a role in chlorthalidone's cardiovascular risk reduction effects.[A176330]"
DB00313,"Valproic acid, or valproate, is an fatty acid derivative and anticonvulsant originally synthesized in 1881 by Beverly S. Burton.[A178051] It enjoyed use as a popular organic solvent in industry and pharmaceutical manufacturing for nearly a century. In 1963, a serendipitous discovery was made by George Carraz during his investigations into the anticonvulsant effects of khelline when he found that all of his samples, dissolved in valproic acid, exerted a similar degree of anticonvulsive activity. It first received approval on February 28, 1978 from the FDA under the trade name Depakene.[L6190]

Since then, it has been investigated for neuroprotective, anti-manic, and anti-migraine effects. It is currently a compound of interest in the field of oncology for its anti-proliferative effects and is the subject of many clinical trials in a variety of cancer types."
DB00315,"Zolmitriptan is a member of the triptan class of 5-hydroxytryptamine(5-HT)<sub>1B/1D/(1F)</sub> receptor agonists used to treat acute migraine.[A462, L12978] [Sumatriptan] was the first triptan to be developed, but had poor oral bioavailability and lipophilicity. This led to the development of second-generation triptans, including [almotriptan], [eletriptan], [frovatriptan], [naratriptan], [rizatriptan], and zolmitriptan.[A193791] Triptans can be administered alone or in combination with an NSAID like [naproxen], and represent the current ""gold standard"" for acute migraine treatment.[A193797]

Zolmitriptan was first approved by the FDA for sale by Zeneca Pharmaceuticals under the trade name Zomig® on November 25, 1997. It is currently available in both tablet and nasal spray forms.[L12978]"
DB00316,"Acetaminophen (paracetamol), also commonly known as _Tylenol_, is the most commonly taken analgesic worldwide and is recommended as first-line therapy in pain conditions by the World Health Organization (WHO).[A176318] It is also used for its antipyretic effects, helping to reduce fever.[F4124] This drug was initially approved by the U.S. FDA in 1951 and is available in a variety of forms including syrup form, regular tablets, effervescent tablets, injection, suppository, and other forms.[L5756,L5774,F4124,Label]

Acetaminophen is often found combined with other drugs in more than 600 over the counter (OTC) allergy medications, cold medications, sleep medications, pain relievers, and other products.[L5783] Confusion about dosing of this drug may be caused by the availability of different formulas, strengths, and dosage instructions for children of different ages.[L5783] Due to the possibility of fatal overdose and liver failure associated with the incorrect use of acetaminophen, it is important to follow current and available national and manufacturer dosing guidelines while this drug is taken or prescribed.[L5786,L5789,Label]"
DB00318,"The relief of pain (analgesia) is a primary goal for enhancing the quality of life of patients and for increasing the ability of patients to engage in day to day activities. Codeine, an opioid analgesic, was originally approved in the US in 1950 and is a drug used to decrease pain by increasing the threshold for pain without impairing consciousness or altering other sensory functions. Opiates such as codeine are derived from the poppy plant, _Papaver somniferum_ (Papaveraceae).[A175096]

Codeine is utilized as a central analgesic, sedative, hypnotic, antinociceptive, and antiperistaltic agent, and is also recommended in certain diseases with incessant coughing.[LABEL,A175096]"
DB00320,"A 9,10alpha-dihydro derivative of [ergotamine]. Dihydroergotamine is used as an abortive therapy for migraines.[L38469] Its use has largely been supplanted by triptans in current therapy due to the class's greater selectivity and more favourable side effect profile.

Recent improvements have been made in the design of intranasal delivery devices allowing for greater delivery of dihydroergotamine solution to the vasculature-rich upper nasal cavity.[A239569] The recently approved Precision Olfactory Delivery technology developed by Impel Neuropharma technology has correlated with an increase of 3-fold in Cmax and 4-fold in AUC despite the solution formulated at 75% of the strength of the existing intranasal product."
DB00321,"Amitriptyline is a tricyclic antidepressant that has been used to treat depression for decades. ELAVIL, a previously approved branded product of amitriptyline, was first approved by the FDA in 1961.[A259342] Amitriptyline has been investigated in the treatment of pain-related conditions, attributed to its analgesic properties.[A174661]"
DB00323,"Tolcapone is a drug that inhibits the enzyme catechol-O-methyl transferase (COMT). It is used in the treatment of Parkinson's disease as an adjunct to levodopa/carbidopa medication. It is a yellow, odorless, non-hygroscopic, crystalline compound. Tolcapone is associated with a risk of hepatotoxicity."
DB00324,"A glucocorticoid employed, usually as eye drops, in the treatment of allergic and inflammatory conditions of the eye. It has also been used topically in the treatment of various skin disorders. (From Martindale, The Extra Pharmacopoeia, 30th ed, p732)"
DB00325,"Nitroprusside serves as a source of nitric oxide, a potent peripheral vasodilator that affects both arterioles and venules (venules more than arterioles). Nitroprusside is often administered intravenously to patients who are experiencing a hypertensive emergency."
DB00327,"Hydromorphone is a pure opioid,[A176468] a semi-synthetic hydrogenated ketone derivative of [morphine] that has been available clinically since 1920. Structurally, hydromorphone derived from [morphine] in the modification of the hydroxyl group in the carbon 6 to a carbonyl and the absence of a double bond between the carbon 7 and 8. Due to these modifications, it presents a very high potency and comparable side effect profile to the parent compound.[A176471] Even though hydromorphone does not present a 6-hydroxyl group, it is categorized under the family of phenanthrenes and it is considered a chemical under the schedule II (medical purposes with high addiction potential).[A176495]

The first reported approved product containing hydromorphone in the form of hydromorphone hydrochloride was developed by Fresenius Kabi USA and FDA approved in 1984.[L5795]"
DB00328,"Indometacin, or indomethacin, is a non-steroidal anti-inflammatory drug (NSAID) with anti-inflammatory, analgesic, and antipyretic properties. NSAIDs consist of agents that are structurally unrelated; the NSAID chemical classification of indometacin is an indole-acetic acid derivative with the chemical name 1- (p-chlorobenzoyl)25-methoxy-2-methylindole-3-acetic acid.[A177871] The pharmacological effect of indometacin is not fully understood, however, it is thought to be mediated through potent and nonselective inhibition of the enzyme cyclooxygenase (COX), which is the main enzyme responsible for catalyzes the rate-limiting step in prostaglandin and thromboxane biosynthesis via the arachidonic acid (AA) pathway. Indometacin was first discovered in 1963 and it was first approved for use in the U.S. by the Food and Drug Administration in 1965, [A486] along with other acetic acid derivatives such as [diclofenac] and [sulindac] that were also developed during the 1960s.[A177871] Since then, indometacin has been extensively studied in clinical trials as one of the most potent NSAIDs in blocking prostaglandin synthesis and was among the first NSAIDs to be used in the symptomatic treatment of migraine and for headaches that eventually became known as “indomethacin-responsive” headache disorders.[A177871] 

Most commonly used in rheumatoid arthritis, ankylosing spondylitis, osteoarthritis, acute shoulder pains, and acute gouty arthritis, indometacin is currently available as oral capsules as well as other methods of administration, including rectal and intravenous formulations. Intravenous indometacin is administered to close a hemodynamically significant patent ductus arteriosus, as indicated by clinical evidence, in premature infants.[L10553] Ophthalmic indometacin has been studied and used in the symptomatic treatment of postoperative ocular inflammation and pain and/or complications after cataract surgery. Although deemed effective in reducing ocular inflammation in clinical studies, topical NSAIDs were also associated with a potential reduction in corneal sensitivity accompanied by an increased risk of superficial punctate keratitis and subjective symptoms of discomfort, including pain, burning or pricking, or a tingling sensation after instillation into the cul‐de‐sac.[A177949]"
DB00331,"Metformin is a biguanide antihyperglycemic agent and first-line pharmacotherapy used in the management of type II diabetes.[L12207,A176173] 

Metformin is considered an antihyperglycemic drug because it lowers blood glucose concentrations in type II diabetes without causing hypoglycemia. It is commonly described as an ""insulin sensitizer"", leading to a decrease in insulin resistance and a clinically significant reduction of plasma fasting insulin levels.[A176173] Another well-known benefit of this drug is modest weight loss, making it an effective choice for obese patients type II diabetes.[A36559]

Metformin was first approved in Canada in 1972,[A36552] and received subsequent FDA approval in the US in 1995.[L12207]"
DB00332,"Ipratropium is a quaternary ammonium derivative of [atropine][A176957] that acts as an anticholinergic agent.[A176939] It is commonly administered through inhalation which allows producing a local effect without presenting a significant systemic absorption.[A176957]

Ipratropium as a therapeutic agent was developed by Boehringer Ingelheim and its first monotherapy product was FDA approved in 1986, while the combination product of ipratropium and [albuterol] was approved in 1996.[L5894, L5891]"
DB00333,"Methadone is a potent synthetic analgesic that works as a full µ-opioid receptor (MOR) agonist and N-methyl-d-aspartate (NMDA) receptor antagonist. As a full MOR agonist, methadone mimics the natural effects of the body's opioids, endorphins, and enkephalins through the release of neurotransmitters involved in pain transmission. It also has a number of unique characteristics that have led to its increased use in the last two decades; in particular, methadone has a lower risk of neuropsychiatric toxicity compared to other opioids (due to a lack of active metabolites), minimal accumulation in renal failure, good bioavailability, low cost, and a long duration of action.[F4685,F4688,F4691,A185885,A185900,A185903] 

Due to its unique mechanism of action, methadone is particularly useful for the management of hard to treat pain syndromes such as neuropathic pain and cancer pain requiring higher and more frequent doses of shorter-acting opioids.[A185888,A185891,A185897] Compared with [morphine], the gold standard reference opioid, methadone also acts as an agonist of κ- and σ-opioid receptors, as an antagonist of the N-methyl-D-aspartate (NMDA) receptor, and as an inhibitor of serotonin and norepinephrine uptake.[A497,A5344] Specifically by inhibiting the NMDA receptor, methadone dampens a major excitatory pain pathway within the central nervous system.[A185876] Compared to other opioids, methadone's effects on NMDA inhibition may explain it's improved analgesic efficacy and reduced opioid tolerance.[A185891,A185894]

Methadone shares similar effects and risks of other opioids such as [morphine], [hydromorphone], [oxycodone], and [fentanyl]. However, it also has a unique pharmacokinetic profile. Compared with short-acting and even extended-release formulations of [morphine], methadone displays a comparatively longer duration of action and half-life. These effects make methadone a good option for the treatment of severe pain and addiction as fewer doses are needed to maintain analgesia and prevent opioid withdrawal symptoms. However, methadone also has an unpredictable half-life with interindividual variability, which leads to an unpredictable risk of respiratory depression and overdose when initiating or titrating therapy.[A183995]

Overall, methadone's pharmacological actions result in analgesia, suppression of opioid withdrawal symptoms, sedation, miosis, sweating, hypotension, bradycardia, nausea and vomiting (via binding within the chemoreceptor trigger zone), and constipation. At higher doses, methadone use can result in respiratory depression, overdose, and death.[F4685,F4688,F4691]

Treatment of opioid addiction with methadone, [buprenorphine], or slow-release oral [morphine] (SROM) is termed Opioid Agonist Treatment (OAT) or Opioid Substitution Therapy (OST). The intention of substitution of illicit opioids with the long-acting opioids used in OAT is to prevent withdrawal symptoms for 24-36 hours following dosing to ultimately reduce cravings and drug-seeking behaviours. Use of OAT is also intended to lead to social stabilization by reducing crime rates, incarceration, use of illicit opioids such as [heroin] or [fentanyl], and ultimately marginalization.[A185882] Illegally purchased opioids present many other harms in addition to overdose as they can be injected and may be laced with other substances that increase the risk of harm or overdose. Provision of OAT is often combined with education about harm reduction including use of clean needles and injection supplies in an effort to reduce the risks associated with injection drug use such as contraction of HIV and Hepatitis C and other complications including skin infections, abscesses, or endocarditis."
DB00334,"Olanzapine is a thienobenzodiazepine classified as an atypical or second-generation antipsychotic agent.[A176996] The second-generation antipsychotics were introduced in the 90s and quickly gained traction due to their impressive efficacy, reduced risk for extrapyramidal side effects and reduced susceptibility to drug-drug interactions.[A177011] Olanzapine very closely resembles [clozapine] and only differs by two additional methyl groups and the absence of a chloride moiety.[T554] It was discovered by scientists at Eli Lilly and approved to be marketed in the US in 1996.[T548]"
DB00335,"Atenolol is a cardioselective beta-blocker used in a variety of cardiovascular conditions. 

Sir James Black, a Scottish pharmacologist, pioneered the use of beta-blockers for the management of angina pectoris in 1958 for which he received the Nobel Prize.[A178429] Beta-blockers quickly became popular in clinical use and where subsequently investigated for use in myocardial infarction, arrhythmias, and hypertension during the 1960s. Later they continued to be investigated for use in heart failure throughout the 1970-1980s. Atenolol itself was developed early on in this history by Alvogen Malta under the trade name Tenormin and received FDA approval in September, 1981.[label]

Despite being one of the most widely prescribed beta blockers, evidence suggests atenolol may not significantly reduce mortality, and only modestly reduce the risk of cardiovascular disease in patients with hypertension.[A235850,A235855] A Cochrane review of patients being treated for primary hypertension shows that atenolol shows a risk ratio of 0.88 for cardiovascular disease risk and a risk ratio of 0.99 for mortality.[A235850,A235855] Similar results have been found in other meta-analyses.[A235860,A235865] A meta-analysis of over 145,000 patients showed the risk of stroke in patients taking atenolol may depend on the age of the patient.[A235865] The use of atenolol may need to be based on more patient factors than hypertension alone.[A235850,A235855,A235860,A235865]"
DB00337,Pimecrolimus is an immunomodulating agent that was first marketed by Novartis under the trade name Elidel. It is now promoted in Canada by Galderma since early 2007. It is currently available as a topic cream used in the treatment of atopic dermatitis (eczema).
DB00338,"Originally approved by the FDA in 1989, omeprazole is a _proton-pump inhibitor_, used to treat gastric acid-related disorders. These disorders may include gastroesophageal reflux disease (GERD), peptic ulcer disease, and other diseases characterized by the oversecretion of gastric acid.  This drug was the first clinical useful drug in its class, and its approval was followed by the formulation of many other proton pump inhibitor drugs [A174232]. Omeprazole is generally effective and well-tolerated, promoting its popular use in children and adults [FDA label]."
DB00342,"In the U.S., Terfenadine was superseded by fexofenadine in the 1990s due to the risk of cardiac arrhythmia caused by QT interval prolongation."
DB00343,"Diltiazem is a benzothiazepine derivative with antihypertensive and vasodilating properties. Approved in 1982 by the FDA, it is a member of the non-dihydropyridine calcium channel blockers drug class. It works through various mechanisms of action, but it primarily works by inhibiting the calcium influx into cardiac and vascular smooth muscle during depolarization.[L10556] Compared to dihydropyridine drugs, such as [nifedipine], that preferentially act on vascular smooth muscle and [verapamil] that directly acts on the heart muscle, diltiazem displays an intermediate specificity to target both the cardiac and vascular smooth muscle.[T28] Being a potent vasodilator, diltiazem is used clinically as an antihypertensive, anti-arrhythmic, and as an anti-anginal agent [L6289] for the management of cardiovascular conditions such as hypertension, chronic stable angina, atrial fibrillation, atrial flutter. Apart from its main FDA-approved indications, diltiazem has also been used for numerous off-label indications, such as anal fissures (in topical formulations), migraine prophylaxis, pulmonary hypertension, and rest-related cramps in the lower extremities.[L6289] Typically available in extended-release oral and intravenous formulations, diltiazem is marketed under various brand names with Cardizem and Tiazac being the most common ones."
DB00346,"Benign prostatic hyperplasia (BPH) refers to a benign growth or hyperplasia of the prostate and leads to lower urinary tract symptoms in men, such as urgency, frequency and changes to urine flow. The prevalence of BPH is as high as 50%-60% for males in their 60's, and this prevalence increases to 80%-90% of those over 70.[A228483] Alfuzosin is an alpha-1 adrenergic blocker used in the symptomatic treatment of BPH that works by relaxing the muscles in the prostate and bladder neck.[L31593] It was initially approved by the FDA in 2003 and is marketed by several pharmaceutical companies.[L9251]"
DB00350,A potent direct-acting peripheral vasodilator (vasodilator agents) that reduces peripheral resistance and produces a fall in blood pressure.
DB00351,"17-Hydroxy-6-methylpregna-3,6-diene-3,20-dione. A progestational hormone used most commonly as the acetate ester. As the acetate, it is more potent than progesterone both as a progestagen and as an ovulation inhibitor. It has also been used in the palliative treatment of breast cancer."
DB00352,An antineoplastic compound which also has antimetabolite action. The drug is used in the therapy of acute leukemia.
DB00353,"A homolog of ergonovine containing one more CH2 group. (Merck Index, 11th ed)"
DB00354,"Buclizine is an antihistamine medication with both antiemetic and anticholinergic effects [L6220], belonging to the _piperazine derivative_ family of drugs. It was manufactured by Stuart Pharms and initially approved by the FDA in 1957.[L6217] Following this, it was touted to be effective as an appetite stimulant in children when administered in the syrup form, however, this indication has not been validated.[A178102] In addition to the above conditions, buclizine has been studied in the treatment of migraine attacks and in the treatment of nausea and vomiting during pregnancy. [A178105, A178108]"
DB00356,"A centrally acting central muscle relaxant with sedative properties. It is claimed to inhibit muscle spasm by exerting an effect primarily at the level of the spinal cord and subcortical areas of the brain. (From Martindale, The Extra Pharmacopoea, 30th ed, p1202)"
DB00357,"An aromatase inhibitor that produces a state of ""medical"" adrenalectomy by blocking the production of adrenal steroids. It also blocks the conversion of androgens to estrogens. Aminoglutethimide has been used in the treatment of advanced breast and prostate cancer. It was formerly used for its weak anticonvulsant properties. (From Martindale, The Extra Pharmacopoeia, 30th ed, p454)"
DB00361,"Vinorelbine is an anti-mitotic chemotherapy drug that is used in the treatment of several types of malignancies, including breast cancer and non-small cell lung cancer (NSCLC) [L1998].  It was initially approved in the USA in 1990's for the treatment of NSCLC [L2010].

It is a third-generation vinca alkaloid. The introduction of third-generation drugs (vinorelbine, gemcitabine, taxanes) in platinum combination improved survival of patients with advanced NSCLC, with very similar results from the various drugs. Treatment toxicities are considerable in the combination treatment setting [A32347].

A study was done on the clearance rate of vinorelbine on individuals with various single polymorphonuclear mutations.  It was found that there was 4.3-fold variation in vinorelbine clearance across the cohort, suggesting a strong influence of genetics on the clearance of this drug [L2002]."
DB00363,"Clozapine is a tricyclic dibenzodiazepine, classified as an atypical antipsychotic agent.[A256708] Clozapine displays affinity to various neuroreceptors with a particularly low affinity to the dopamine receptors, thus breaking the mold of first-generation antipsychotics and deeming it ""atypical"".[A256723]. This low affinity to dopamine receptors results in fewer extrapyramidal side effects, especially tardive dyskinesia.[A185747] However, its promiscuity toward the muscarinic and adrenergic receptors can result in other side effects, notably gastrointestinal hypomotility and orthostatic hypotension. [L905,A215552]. Despite its effectiveness in treating both positive and negative symptoms of schizophrenia, clozapine was briefly removed from the market in various jurisdictions in 1970 due to severe agranulocytosis.[A256713,A256718] However, continued evidence of its effectiveness led to clozapine's eventual reintroduction, although with a reluctance to prescribe it.[A256718] 

Clozapine was approved by the FDA in 1989 for treatment-resistant schizophrenia under the brand CLOZARIL.[L905] Due to its severe adverse effects profile, clozapine is only available through a restricted program under a Risk Evaluation Mitigation Strategy (REMS) called the Clozapine REMS Program.[L905]"
DB00364,"Sucralfate is a medication that is widely used to prevent and treat a number of diseases in the gastrointestinal tract such as duodenal ulcers [FDA label], gastro-esophageal reflux disease (GERD), gastritis, peptic ulcer disease, stress ulcer, in addition to dyspepsia [A177655].  It is considered a _cytoprotective agent_, protecting cells in the gastrointestinal tract from damage caused by agents such as gastric acid, bile salts, alcohol, and acetylsalicylic acid (aspirin), among other substances [A177655, F4519].

Sucralfate has been shown to be a well-tolerated and safe drug. It is sold under many brands and is available in both tablet and suspension forms.  It was approved by the FDA  1982 in tablet form, and in 1994 for the suspension form [L6073, L6076]."
DB00366,"Histamine H1 antagonist with pronounced sedative properties. It is used in allergies and as an antitussive, antiemetic, and hypnotic. Doxylamine has also been administered in veterinary applications and was formerly used in parkinsonism."
DB00367,"Levonorgestrel (LNG) is a synthetic progestogen similar to [Progesterone] used in contraception and hormone therapy.[A181988,T659] Also known as Plan B, it is used as a single agent in emergency contraception, and as a hormonal contraceptive released from an intrauterine device, commonly referred to as an IUD. Some of these devices are known as Jaydess, Kyleena, and Mirena.  A subdermal implant of levonorgestrel that slowly releases the hormone over a long-term period is also available.[L7823]  In addition to the above uses, levonorgestrel is used as a component of long-term combination contraceptives.[A181991,L7760,L7778] 

Globally, levonorgestrel is the most commonly used emergency contraceptive. It was initially granted FDA approval in 1982 and was the first emergency contraceptive containing only progesterone, showing high levels of efficacy and a lack of estrogenic adverse effects when compared to older emergency contraceptive regimens.[A181976,A181994,L7760]"
DB00368,Precursor of epinephrine that is secreted by the adrenal medulla and is a widespread central and autonomic neurotransmitter. Norepinephrine is the principal transmitter of most postganglionic sympathetic fibers and of the diffuse projection system in the brain arising from the locus ceruleus. It is also found in plants and is used pharmacologically as a sympathomimetic.
DB00371,"A carbamate with hypnotic, sedative, and some muscle relaxant properties, although in therapeutic doses reduction of anxiety rather than a direct effect may be responsible for muscle relaxation. Meprobamate has been reported to have anticonvulsant actions against petit mal seizures, but not against grand mal seizures (which may be exacerbated). It is used in the treatment of anxiety disorders, and also for the short-term management of insomnia but has largely been superseded by the benzodiazepines. (From Martindale, The Extra Pharmacopoeia, 30th ed, p603) Meprobamate is a controlled substance in the U.S."
DB00373,"Timolol is a nonselective beta-adrenergic antagonist given in an eye drop solution to reduce intraocular pressure, or pressure in the eyes.[L6724] It is also used in tablet form as a drug to treat hypertension.[L6727] Timolol was first approved by the FDA in 1978.[L6724] This drug is marketed by several manufacturers [L6736] and is an effective agent for the management of conditions such as open-angle glaucoma and hypertension."
DB00374,"Treprostinil is a stable tricyclic analogue of prostacyclin[A248770] that promotes the vasodilation of pulmonary and systemic arterial vascular beds and the inhibition of platelet aggregation.[L41855,L41860,L41865] It reduces symptoms in patients with pulmonary arterial hypertension (PAH) and pulmonary hypertension associated with interstitial lung disease.[L41855,L41860] The first agent approved for the treatment of PAH was [epoprostenol], a synthetic prostacyclin that significantly increases patients' quality of life. However, the use of epoprostenol is limited due to its short half-life (3-5 min) and instability at room temperature.[A248770,A248775] The use of more stable alternatives such as treprostinil provides patients with PAH with more treatment options.

Treprostinil was approved by the FDA in 2002 for the treatment of pulmonary arterial hypertension.[L41860] It is available in the following routes of administration: subcutaneous, intravenous, inhaled and oral. The first generic form of treprostinil became available in 2019.[A248775]"
DB00376,"Trihexyphenidyl is a centrally acting muscarinic antagonist used for treatment of parkinsonism and drug-induced extrapyramidal disorders.[L31773,L31778] Its discovery was published in 1949 in a study looking for drugs with antispasmodic activity.[A229103] Trihexyphenidyl is rarely used in the treatment of parkinsonism, and is not a first line treatment due to significant adverse effects.[L31843] It has largely been replaced by drugs such as [levodopa].[L31843]

Trihexyphenidyl was granted FDA approval on 13 May 1949.[L31768]"
DB00379,Antiarrhythmic agent pharmacologically similar to lidocaine. It may have some anticonvulsant properties.
DB00380,"An antimitotic agent with immunosuppressive properties. Dexrazoxane, the (+)-enantiomorph of razoxane, provides cardioprotection against anthracycline toxicity. It appears to inhibit formation of a toxic iron-anthracycline complex. [PubChem]
The Food and Drug Administration has designated dexrazoxane as an orphan drug for use in the prevention or reduction in the incidence and severity of anthracycline-induced cardiomyopathy."
DB00381,"Amlodipine, initially approved by the FDA in 1987, is a popular antihypertensive drug belonging to the group of drugs called _dihydropyridine calcium channel blockers_.  Due to their selectivity for the peripheral blood vessels, dihydropyridine calcium channel blockers are associated with a lower incidence of myocardial depression and cardiac conduction abnormalities than other calcium channel blockers [A175327].

Amlodipine is commonly used in the treatment of high blood pressure and angina. Amlodipine has antioxidant properties and an ability to enhance the production of nitric oxide (NO), an important vasodilator that decreases blood pressure [A175321].  The option for single daily dosing of amlodipine is an attractive feature of this drug [FDA label]."
DB00382,"A centerally active cholinesterase inhibitor that has been used to counter the effects of muscle relaxants, as a respiratory stimulant, and in the treatment of Alzheimer's disease and other central nervous system disorders. Tacrine has been discontinued for the United States market."
DB00384,"Triamterene (2,4,7-triamino-6-phenylpteridine) is a potassium-sparing diuretic that is used in the management of hypertension. It works by promoting the excretion of sodium ions and water while decreasing the potassium excretion in the distal part of the nephron in the kidneys by working on the lumenal side.[A177985] Since it acts on the distal nephron where only a small fraction of sodium ion reabsorption occurs, triamterene is reported to have limited diuretic efficacy.[T28] Due to its effects on increased serum potassium levels, triamterene is associated with a risk of producing hyperkalemia. Triamterene is a weak antagonist of folic acid, and a photosensitizing drug.[L6163] 

Triamterene was approved by the Food and Drug Administration in the U.S. in 1964.[L6163] Currently, triamterene is used in the treatment of edema associated with various conditions as monotherapy and is approved for use with other diuretics to enhance diuretic and potassium-sparing effects.[L6166] It is also found in a combination product with hydrochlorothiazide that is used for the management of hypertension or treatment of edema in patients who develop hypokalemia on hydrochlorothiazide alone."
DB00385,"Valrubicin (N-trifluoroacetyladriamycin-14-valerate) is a chemotherapy drug commonly marketed under the trade name VALSTAR.  It is a semisynthetic analog of the [doxorubicin], which is an anthracycline drug. Used in the treatment of the bladder cancer, valrubicin is administered by direct infusion into the bladder."
DB00387,A muscarinic antagonist that crosses the blood-brain barrier and is used in the treatment of drug-induced extrapyramidal disorders and in parkinsonism.
DB00388,"Phenylephrine is an alpha-1 adrenergic receptor agonist used to treat hypotension,[L9416,L9410] dilate the pupil,[L9413] and induce local vasoconstriction.[A187370] The action of phenylephrine, or neo-synephrine, was first described in literature in the 1930s.[A187376]

Phenylephrine was granted FDA approval in 1939.[L9413]"
DB00390,"Digoxin is one of the oldest cardiovascular medications used today.[A178225] It is a common agent used to manage atrial fibrillation and the symptoms of heart failure.[A178234] Digoxin is classified as a cardiac glycoside and was initially approved by the FDA in 1954.[L9143]

This drug originates from the foxglove plant, also known as the _Digitalis_ plant[T610], studied by William Withering, an English physician and botanist in the 1780s.[A178237,A178240] Prior to this, a Welsh family, historically referred to as the _Physicians of Myddvai_, formulated drugs from this plant. They were one of the first to prescribe cardiac glycosides, according to ancient literature dating as early as the 1250s.[A178240]"
DB00393,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm."
DB00394,"Beclomethasone dipropionate is a second-generation[A179842] synthetic corticosteroid and diester of beclomethasone, which is structurally similar to [dexamethasone].[L6871] It is a prodrug of an active metabolite beclomethasone 17-monopropionate (17-BMP)[A179839] which acts on the glucocorticoid receptor to mediates its therapeutic action. Beclomethasone dipropionate itself posesses weak glucocorticoid receptor binding affinity and is rapidly converted into 17-BMP upon administration.[A179839] Formulations for oral inhalation, intranasal, and topical use are available for beclomethasone dipropionate. Beclomethasone dipropionate became first available in a pressurized metered-dose inhaler in 1972 and later in a dry powder inhaler and an aqueous nasal spray.[A179839] Due to its anti-inflammatory, antipruritic, and anti-allergy properties, beclomethasone dipropionate is used in various inflammatory conditions, such as asthma, allergic rhinitis, and dermatoses to reduce symptoms. When inhaled, it is proposed that beclomethasone dipropionate remains active locally in the lung without causing significant side effects associated with systemic corticosteroids.[A180010] Compared to earlier corticosteroids such as [dexamethasone] and [prednisolone], beclomethasone dipropionate is reported to be less irritating to the nasal mucosa with a longer duration of action when administered intranasally.[A179848]"
DB00396,"Progesterone is a hormone that occurs naturally in females, and is essential for endometrial receptivity, embryo implantation, and the successful establishment of pregnancy. A low progesterone concentration or an insufficient response to progesterone can cause infertility and pregnancy loss [A175609]. Progesterone is used in various contraceptive preparations to prevent ovulation and fertilization [T481], [A175612] as well as in other formulations to promote and support pregnancy.  Please see [Medroxyprogesterone acetate], [Megestrol acetate], [Dydrogesterone] and [Hydroxyprogesterone] entries for information on various other forms of progesterone.

Pharmaceutical progesterone is made from a plant source as a starting material and is chemically identical to progesterone of human ovarian origin [FDA label]. Progesterone is available in gelatinized capsule form, vaginal gel form, tablet form, vaginal insert form, and injection form, all used for various purposes [Label,F3898,F3904,F3901,F3907]."
